order_date,sales,year,month,day,day_of_week,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2014-02-01,0.0,2014,2,1,5,1,290.666,0.0,468.9,294.1448571428572,949.4935333333332
2014-02-02,211.64600000000002,2014,2,2,6,1,0.0,1097.25,2203.151,167.63000000000002,883.1100333333333
2014-02-03,202.384,2014,2,3,0,0,211.64600000000002,426.67,119.88799999999999,135.58914285714283,885.8599
2014-02-04,1458.558,2014,2,4,1,0,202.384,3.928,0.0,343.39342857142856,934.4784999999999
2014-02-05,506.12,2014,2,5,2,0,1458.558,0.0,5188.5199999999995,415.6962857142857,778.3985
2014-02-06,738.598,2014,2,6,3,0,506.12,240.5,601.0239999999999,486.8531428571428,782.9843
2014-02-07,79.56,2014,2,7,4,0,738.598,290.666,228.328,456.6951428571428,778.0253666666666
2014-02-08,886.28,2014,2,8,5,1,79.56,0.0,469.436,583.3065714285715,791.9201666666667
2014-02-09,3254.15,2014,2,9,6,1,886.28,211.64600000000002,4.71,1017.9499999999999,900.2348333333334
2014-02-10,598.144,2014,2,10,0,0,3254.15,202.384,4732.08,1074.4871428571428,762.4369666666666
2014-02-11,2126.37,2014,2,11,1,0,598.144,1458.558,5624.39,1169.8888571428572,645.8363
2014-02-12,1771.808,2014,2,12,2,0,2126.37,506.12,3553.795,1350.7014285714286,586.4367333333333
2014-02-13,0.0,2014,2,13,3,0,1771.808,738.598,61.96,1245.1874285714287,584.3714
2014-02-14,576.726,2014,2,14,4,0,0.0,79.56,149.95,1316.211142857143,598.5972666666668
2014-02-15,21.36,2014,2,15,5,1,576.726,886.28,299.964,1192.6511428571428,589.3104666666666
2014-02-16,9.04,2014,2,16,6,1,21.36,3254.15,0.0,729.0640000000001,589.6118
2014-02-17,54.208,2014,2,17,0,0,9.04,598.144,64.864,651.3588571428571,589.2566
2014-02-18,37.784,2014,2,18,1,0,54.208,2126.37,378.594,352.98942857142856,577.8962666666667
2014-02-19,0.0,2014,2,19,2,0,37.784,1771.808,2673.87,99.874,488.76726666666667
2014-02-20,95.59,2014,2,20,3,0,0.0,0.0,25.248,113.52971428571428,491.112
2014-02-21,8.85,2014,2,21,4,0,95.59,576.726,0.0,32.40457142857143,491.40700000000004
2014-02-22,19.44,2014,2,22,5,1,8.85,21.36,46.019999999999996,32.13028571428571,490.521
2014-02-23,11.364,2014,2,23,6,1,19.44,9.04,0.0,32.46228571428571,490.8998
2014-02-24,55.672,2014,2,24,0,0,11.364,54.208,0.0,32.67142857142857,492.75553333333335
2014-02-25,0.0,2014,2,25,1,0,55.672,37.784,1097.25,27.273714285714284,456.18053333333336
2014-02-26,0.0,2014,2,26,2,0,0.0,0.0,426.67,27.273714285714284,441.95820000000003
2014-02-27,19.456,2014,2,27,3,0,0.0,95.59,3.928,16.39742857142857,442.47580000000005
2014-02-28,0.0,2014,2,28,4,0,19.456,8.85,0.0,15.133142857142857,442.47580000000005
2014-03-01,16.448,2014,3,1,5,1,0.0,19.44,240.5,14.705714285714283,435.0074
2014-03-02,97.11200000000001,2014,3,2,6,1,16.448,11.364,290.666,26.95542857142857,428.55559999999997
2014-03-03,1345.8919999999998,2014,3,3,0,0,97.11200000000001,55.672,0.0,211.2725714285714,473.41866666666664
2014-03-04,233.45,2014,3,4,1,0,1345.8919999999998,0.0,211.64600000000002,244.62257142857143,474.14546666666666
2014-03-05,72.632,2014,3,5,2,0,233.45,0.0,202.384,254.9985714285714,469.8204
2014-03-06,741.336,2014,3,6,3,0,72.632,19.456,1458.558,358.1242857142857,445.91299999999995
2014-03-07,0.0,2014,3,7,4,0,741.336,0.0,506.12,358.1242857142857,429.0423333333334
2014-03-08,477.994,2014,3,8,5,1,0.0,16.448,738.598,424.05942857142855,420.35553333333337
2014-03-09,22.08,2014,3,9,6,1,477.994,97.11200000000001,79.56,413.3405714285714,418.4395333333333
2014-03-10,862.683,2014,3,10,0,0,22.08,1345.8919999999998,886.28,344.3107142857143,417.65296666666666
2014-03-11,2784.163,2014,3,11,1,0,862.683,233.45,3254.15,708.6982857142858,401.9867333333333
2014-03-12,505.88,2014,3,12,2,0,2784.163,72.632,598.144,770.5908571428571,398.9112666666667
2014-03-13,0.0,2014,3,13,3,0,505.88,741.336,2126.37,664.6857142857143,328.03226666666666
2014-03-14,2108.55,2014,3,14,4,0,0.0,0.0,1771.808,965.907142857143,339.25699999999995
2014-03-15,370.78200000000004,2014,3,15,5,1,2108.55,477.994,0.0,950.5911428571428,351.6164
2014-03-16,471.92,2014,3,16,6,1,370.78200000000004,22.08,576.726,1014.854,348.12286666666665
2014-03-17,3960.358,2014,3,17,0,0,471.92,862.683,21.36,1457.3790000000001,479.42280000000005
2014-03-18,28106.716,2014,3,18,1,0,3960.358,2784.163,9.04,5074.886571428571,1416.012
2014-03-19,590.762,2014,3,19,2,0,28106.716,505.88,54.208,5087.012571428572,1433.8971333333334
2014-03-20,0.0,2014,3,20,3,0,590.762,0.0,37.784,5087.012571428572,1432.6376666666667
2014-03-21,4109.816,2014,3,21,4,0,0.0,2108.55,0.0,5372.907714285714,1569.6315333333334
2014-03-22,464.09299999999996,2014,3,22,5,1,4109.816,370.78200000000004,95.59,5386.237857142857,1581.9149666666667
2014-03-23,945.064,2014,3,23,6,1,464.09299999999996,471.92,8.85,5453.829857142858,1613.1221
2014-03-24,65.38,2014,3,24,0,0,945.064,3960.358,19.44,4897.404428571428,1614.6534333333332
2014-03-25,459.146,2014,3,25,1,0,65.38,28106.716,11.364,947.7515714285709,1629.5795
2014-03-26,145.13,2014,3,26,2,0,459.146,590.762,55.672,884.0898571428567,1632.561433333333
2014-03-27,0.0,2014,3,27,3,0,145.13,0.0,0.0,884.0898571428567,1632.561433333333
2014-03-28,1823.8039999999999,2014,3,28,4,0,0.0,4109.816,0.0,557.5167142857138,1693.3548999999998
2014-03-29,890.841,2014,3,29,5,1,1823.8039999999999,464.09299999999996,19.456,618.4807142857137,1722.4010666666666
2014-03-30,1170.3220000000001,2014,3,30,6,1,890.841,945.064,0.0,650.660428571428,1761.4118
2014-03-31,1959.552,2014,3,31,0,0,1170.3220000000001,65.38,16.448,921.2564285714279,1826.1819333333333
2014-04-01,288.06,2014,4,1,1,0,1959.552,459.146,97.11200000000001,896.8155714285709,1832.5468666666668
2014-04-02,134.38400000000001,2014,4,2,2,0,288.06,145.13,1345.8919999999998,895.280428571428,1792.1632666666667
2014-04-03,370.452,2014,4,3,3,0,134.38400000000001,0.0,233.45,948.2021428571423,1796.73
2014-04-04,475.844,2014,4,4,4,0,370.452,1823.8039999999999,72.632,755.636428571428,1810.1704
2014-04-05,187.43200000000002,2014,4,5,5,1,475.844,890.841,741.336,655.1494285714281,1791.7069333333336
2014-04-06,456.272,2014,4,6,6,1,187.43200000000002,1170.3220000000001,0.0,553.1422857142852,1806.9160000000002
2014-04-07,247.40800000000002,2014,4,7,0,0,456.272,1959.552,477.994,308.55028571428517,1799.2298
2014-04-08,2743.154,2014,4,8,1,0,247.40800000000002,288.06,22.08,659.2779999999995,1889.9322666666667
2014-04-09,0.0,2014,4,9,2,0,2743.154,134.38400000000001,862.683,640.0802857142852,1861.1761666666666
2014-04-10,728.7479999999999,2014,4,10,3,0,0.0,370.452,2784.163,691.265428571428,1792.6623333333332
2014-04-11,6693.7480000000005,2014,4,11,4,0,728.7479999999999,475.844,505.88,1579.5374285714279,1998.9245999999998
2014-04-12,129.98,2014,4,12,5,1,6693.7480000000005,187.43200000000002,0.0,1571.3299999999995,2003.2572666666667
2014-04-13,638.576,2014,4,13,6,1,129.98,456.272,2108.55,1597.373428571428,1954.2581333333333
2014-04-14,0.0,2014,4,14,0,0,638.576,247.40800000000002,370.78200000000004,1562.029428571428,1941.8987333333332
2014-04-15,294.71999999999997,2014,4,15,1,0,0.0,2743.154,471.92,1212.2531428571424,1935.9920666666667
2014-04-16,39.072,2014,4,16,2,0,294.71999999999997,0.0,3960.358,1217.8348571428567,1805.2825333333335
2014-04-17,0.0,2014,4,17,3,0,39.072,728.7479999999999,28106.716,1113.7279999999996,868.3919999999999
2014-04-18,1020.532,2014,4,18,4,0,0.0,6693.7480000000005,590.762,303.2685714285709,882.7176666666667
2014-04-19,205.47,2014,4,19,5,1,1020.532,129.98,0.0,314.0528571428566,889.5666666666667
2014-04-20,1250.45,2014,4,20,6,1,205.47,638.576,4109.816,401.4634285714281,794.2544666666668
2014-04-21,845.36,2014,4,21,0,0,1250.45,0.0,464.09299999999996,522.2291428571424,806.9633666666667
2014-04-22,257.752,2014,4,22,1,0,845.36,294.71999999999997,945.064,516.9479999999995,784.0529666666666
2014-04-23,643.98,2014,4,23,2,0,257.752,39.072,65.38,603.363428571428,803.3396333333334
2014-04-24,0.0,2014,4,24,3,0,643.98,0.0,459.146,603.363428571428,788.0347666666668
2014-04-25,2379.9939999999997,2014,4,25,4,0,0.0,1020.532,145.13,797.5722857142852,862.5302333333333
2014-04-26,282.568,2014,4,26,5,1,2379.9939999999997,205.47,0.0,808.586285714285,871.9491666666667
2014-04-27,0.0,2014,4,27,6,1,282.568,1250.45,1823.8039999999999,629.9505714285708,811.1556999999999
2014-04-28,2578.476,2014,4,28,0,0,0.0,845.36,890.841,877.538571428571,867.4102
2014-04-29,768.8439999999999,2014,4,29,1,0,2578.476,257.752,1170.3220000000001,950.5517142857137,854.0275999999999
2014-04-30,1048.74,2014,4,30,2,0,768.8439999999999,643.98,1959.552,1008.3745714285708,823.6672
2014-05-01,19.536,2014,5,1,3,0,1048.74,0.0,288.06,1011.1654285714279,814.7164
2014-05-02,0.0,2014,5,2,4,0,19.536,2379.9939999999997,134.38400000000001,671.1662857142852,810.2369333333334
2014-05-03,705.562,2014,5,3,5,1,0.0,282.568,370.452,731.5939999999994,821.4072666666667
